Systematic Name,Standard Name,Sgd Alias,Description,gene_link
YHR101C,BIG1, ,"Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan",<a href='https://www.yeastgenome.org/locus/YHR101C' target='_blank'>YHR101C</a>
YHR102W,KIC1,NRK1|putative serine/threonine protein kinase KIC1,"Protein kinase of the PAK/Ste20 family, required for cell integrity; physically interacts with Cdc31p (centrin), which is a component of the spindle pole body; phosphorylates Cbk1p kinase after allosteric activation by Hym1p; part of the RAM network that regulates cellular polarity and morphogenesis",<a href='https://www.yeastgenome.org/locus/YHR102W' target='_blank'>YHR102W</a>
YHR103W,SBE22, ,"Protein involved in bud growth; involved in the transport of cell wall components from the Golgi to the cell surface; similar in structure and functionally redundant with Sbe2p; SBE22 has a paralog, SBE2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR103W' target='_blank'>YHR103W</a>
YHR104W,GRE3,trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+)),"Aldose reductase; involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by HOG pathway; overexpression allows xylose fermentation in strains expressing heterologous xylitol dehydrogenase and xylulokinase; protein abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YHR104W' target='_blank'>YHR104W</a>
YHR105W,YPT35, ,Endosomal protein of unknown function; contains a phox (PX) homology domain; binds to both phosphatidylinositol-3-phosphate (PtdIns(3)P) and proteins involved in ER-Golgi or vesicular transport,<a href='https://www.yeastgenome.org/locus/YHR105W' target='_blank'>YHR105W</a>
YHR106W,TRR2,thioredoxin-disulfide reductase TRR2,"Mitochondrial thioredoxin reductase; involved in protection against oxidative stress, required with Glr1p to maintain the redox state of Trx3p; contains active-site motif (CAVC) present in prokaryotic orthologs; binds NADPH and FAD; TRR2 has a paralog, TRR1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR106W' target='_blank'>YHR106W</a>
YHR107C,CDC12,CLA10|PSL7|septin CDC12,Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble into rod-like hetero-oligomers that can associate with other rods to form filaments; septin rings at the mother-bud neck act as scaffolds for recruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells,<a href='https://www.yeastgenome.org/locus/YHR107C' target='_blank'>YHR107C</a>
YHR108W,GGA2,phosphatidylinositol 4-phosphate-binding protein,"Protein that regulates Arf1p, Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate, which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog, GGA1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR108W' target='_blank'>YHR108W</a>
YHR109W,CTM1,cytochrome c lysine N-methyltransferase,Cytochrome c lysine methyltransferase; trimethylates residue 72 of apo-cytochrome c (Cyc1p) in the cytosol; not required for normal respiratory growth,<a href='https://www.yeastgenome.org/locus/YHR109W' target='_blank'>YHR109W</a>
YHR110W,ERP5, ,Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport,<a href='https://www.yeastgenome.org/locus/YHR110W' target='_blank'>YHR110W</a>
YHR111W,UBA4,YHR1,E1-like protein that activates Urm1p before urmylation; also acts in thiolation of the wobble base of cytoplasmic tRNAs by adenylating and then thiolating Urm1p; receives sulfur from Tum1p,<a href='https://www.yeastgenome.org/locus/YHR111W' target='_blank'>YHR111W</a>
YHR112C, ,putative cystathionine beta-lyase,Protein of unknown function; localizes to the cytoplasm and nucleus; overexpression affects protein trafficking through the endocytic pathway,<a href='https://www.yeastgenome.org/locus/YHR112C' target='_blank'>YHR112C</a>
YHR113W,APE4,aspartyl aminopeptidase,Cytoplasmic aspartyl aminopeptidase with possible vacuole function; Cvt pathway cargo protein; cleaves unblocked N-terminal acidic amino acids from peptide substrates; forms a 12-subunit homo-oligomer; M18 metalloprotease family,<a href='https://www.yeastgenome.org/locus/YHR113W' target='_blank'>YHR113W</a>
YHR114W,BZZ1,LSB7,SH3 domain protein implicated in regulating actin polymerization; able to recruit actin polymerization machinery through its SH3 domains; colocalizes with cortical actin patches and Las17p; interacts with type I myosins,<a href='https://www.yeastgenome.org/locus/YHR114W' target='_blank'>YHR114W</a>
YHR115C,DMA1,CHF1|ubiquitin-conjugating protein DMA1,"Ubiquitin-protein ligase (E3); controls septin dynamics, spindle position checkpoint (SPOC) with ligase Dma2p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p, as well as abundance, localization, and ubiquitination of Cdk inhibitory kinase Swe1p; ubiquitinates cyclin Pcl1p; ortholog of human RNF8, similar to human Chfr; contains FHA, RING fingers; DMA1 has a paralog, DMA2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR115C' target='_blank'>YHR115C</a>
YHR116W,COX23, ,Protein that functions in mitochondrial copper homeostasis; mitochondrial intermembrane space protein; essential for functional cytochrome oxidase expression; homologous to Cox17p; contains twin cysteine-x9-cysteine motifs,<a href='https://www.yeastgenome.org/locus/YHR116W' target='_blank'>YHR116W</a>
YHR117W,TOM71,protein channel TOM71|TOM72,"Mitochondrial outer membrane protein; probable minor component of the TOM (translocase of outer membrane) complex responsible for recognition and import of mitochondrially directed proteins; TOM71 has a paralog, TOM70, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR117W' target='_blank'>YHR117W</a>
YHR118C,ORC6,origin recognition complex subunit 6,Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; phosphorylated by Cdc28p; mutation in the human Orc6p is linked to Meier-Gorlin syndrome,<a href='https://www.yeastgenome.org/locus/YHR118C' target='_blank'>YHR118C</a>
YHR119W,SET1,histone methyltransferase SET1|KMT2|YTX1,"Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain",<a href='https://www.yeastgenome.org/locus/YHR119W' target='_blank'>YHR119W</a>
YHR120W,MSH1,mismatch repair ATPase MSH1,DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis,<a href='https://www.yeastgenome.org/locus/YHR120W' target='_blank'>YHR120W</a>
YHR121W,LSM12, ,Protein of unknown function that may function in RNA processing; interacts with Pbp1p and Pbp4p and associates with ribosomes; contains an RNA-binding LSM domain and an AD domain; GFP-fusion protein is induced by the DNA-damaging agent MMS; relative distribution to the nucleus increases upon DNA replication stress,<a href='https://www.yeastgenome.org/locus/YHR121W' target='_blank'>YHR121W</a>
YHR122W,CIA2,iron-sulfur cluster assembly protein CIA2,"Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Met18p that directs Fe-S cluster incorporation and maturation of a subset of proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human FAM96B",<a href='https://www.yeastgenome.org/locus/YHR122W' target='_blank'>YHR122W</a>
YHR123W,EPT1,bifunctional diacylglycerol cholinephosphotransferase/ethanolaminephosphotransferase,"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase; not essential for viability; EPT1 has a paralog, CPT1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR123W' target='_blank'>YHR123W</a>
YHR124W,NDT80,transcription factor NDT80,Meiosis-specific transcription factor; required for exit from pachytene and for full meiotic recombination; activates middle sporulation genes; competes with Sum1p for binding to promoters containing middle sporulation elements (MSE) ,<a href='https://www.yeastgenome.org/locus/YHR124W' target='_blank'>YHR124W</a>
YHR125W, , ,Putative protein of unknown function; conserved across S. cerevisiae strains,<a href='https://www.yeastgenome.org/locus/YHR125W' target='_blank'>YHR125W</a>
YHR126C,ANS1, ,Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the vacuole; transcription dependent upon Azf1p,<a href='https://www.yeastgenome.org/locus/YHR126C' target='_blank'>YHR126C</a>
YHR127W, ,HSN1,Protein of unknown function; localizes to the nucleus; required for asymmetric localization of Kar9p during mitosis,<a href='https://www.yeastgenome.org/locus/YHR127W' target='_blank'>YHR127W</a>
YHR128W,FUR1,uracil phosphoribosyltransferase,Uracil phosphoribosyltransferase; synthesizes UMP from uracil; involved in the pyrimidine salvage pathway,<a href='https://www.yeastgenome.org/locus/YHR128W' target='_blank'>YHR128W</a>
YHR129C,ARP1,ACT5|actin-related protein 1,Actin-related protein of the dynactin complex; required for spindle orientation and nuclear migration; forms actin-like short filament composed of 9 or 10 Arp1p monomers; putative ortholog of mammalian centractin,<a href='https://www.yeastgenome.org/locus/YHR129C' target='_blank'>YHR129C</a>
YHR130C, , ,Putative protein of unknown function; conserved among S. cerevisiae strains; YHR130C is not an essential gene,<a href='https://www.yeastgenome.org/locus/YHR130C' target='_blank'>YHR130C</a>
YHR131C, , ,"Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; overexpression causes cell cycle delay or arrest; contains a PH domain and binds phosphatidylinositols and other lipids in a large-scale study; YHR131C has a paralog, YNL144C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR131C' target='_blank'>YHR131C</a>
YHR131W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YHR131C",<a href='https://www.yeastgenome.org/locus/YHR131W-A' target='_blank'>YHR131W-A</a>
YHR132C,ECM14,putative metallocarboxypeptidase,Conserved fungal protein with similarity to zinc carboxypeptidases; in some strains required for normal cell wall assembly,<a href='https://www.yeastgenome.org/locus/YHR132C' target='_blank'>YHR132C</a>
YHR132W-A,IGO2,phosphatase regulator,"Protein required for initiation of G0 program; prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway; phosphorylated by Rim15p; GFP protein localizes to the cytoplasm and nucleus; IGO2 has a paralog, IGO1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR132W-A' target='_blank'>YHR132W-A</a>
YHR133C,NSG1, ,"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; forms foci at the nuclear periphery upon DNA replication stress; relocalizes to the cytosol in response to hypoxia; homolog of mammalian INSIG proteins; NSG1 has a paralog, NSG2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR133C' target='_blank'>YHR133C</a>
YHR134W,WSS1,metalloendopeptidase WSS1,SUMO-ligase and SUMO-targeted metalloprotease; involved in DNA repair; removes DNA-protein crosslinks at stalled replication forks during replication of damaged DNA; clears chromatin-bound sumoylated proteins; localizes to single spot on nuclear periphery of mother cells but not daughters; exhibits vacuolar localization upon genotoxic stress; activated by DNA binding; member of minigluzincins protease family with mammalian DVC1/Spartan,<a href='https://www.yeastgenome.org/locus/YHR134W' target='_blank'>YHR134W</a>
YHR135C,YCK1,CKI2|serine/threonine protein kinase YCK1,"Palmitoylated plasma membrane-bound casein kinase I (CK1) isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking, and glucose sensing; stabilized by Sod1p binding in the presence of glucose and oxygen, causing glucose repression of respiratory metabolism; involved in the phosphorylation and regulation of glucose sensor Rgt2p; YCK1 has a paralog, YCK2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR135C' target='_blank'>YHR135C</a>
YHR136C,SPL2, ,Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation by targeting Pho87p to the vacuole; upstream region harbors putative hypoxia response element (HRE) cluster; overproduction suppresses a plc1 null mutation; promoter shows an increase in Snf2p occupancy after heat shock; GFP-fusion protein localizes to the cytoplasm,<a href='https://www.yeastgenome.org/locus/YHR136C' target='_blank'>YHR136C</a>
YHR137C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene ARO9/YHR137W; identified by gene-trapping, expression analysis, and genome-wide homology searching",<a href='https://www.yeastgenome.org/locus/YHR137C-A' target='_blank'>YHR137C-A</a>
YHR137W,ARO9,aromatic-amino-acid:2-oxoglutarate transaminase,"Aromatic aminotransferase II; catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism; involved with Aro8p in production of kynurenic acid to detoxify excess tryptophan",<a href='https://www.yeastgenome.org/locus/YHR137W' target='_blank'>YHR137W</a>
YHR138C, , ,Protein of unknown function; similar to Pbi2p; double null mutant lacking Pbi2p and Yhr138cp exhibits highly fragmented vacuoles; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YHR138C' target='_blank'>YHR138C</a>
YHR139C,SPS100, ,"Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall; expression also induced in cells treated with the mycotoxin patulin; SPS100 has a paralog, YGP1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR139C' target='_blank'>YHR139C</a>
YHR139C-A, , ,Putative protein of unknown function; conserved across S. cerevisiae strains,<a href='https://www.yeastgenome.org/locus/YHR139C-A' target='_blank'>YHR139C-A</a>
YHR140W, , ,"Endoplasmic reticulum protein; may contribute to maintenance of ER and nuclear morphology; null mutant shows discontinuity in nuclear envelope, clustering of nuclear pores, and lacks cortical ER",<a href='https://www.yeastgenome.org/locus/YHR140W' target='_blank'>YHR140W</a>
YHR141C,RPL42B,eL42|L41B|L42B|L44e|MAK18|ribosomal 60S subunit protein L42B|YL27|YP44,"Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR141C' target='_blank'>YHR141C</a>
YHR142W,CHS7, ,Protein of unknown function; may be involved in chitin biosynthesis by regulation of Chs3p export from the ER; relocalizes from bud neck to ER upon DNA replication stress,<a href='https://www.yeastgenome.org/locus/YHR142W' target='_blank'>YHR142W</a>
YHR143W,DSE2, ,Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; localizes in birth scars; expression is repressed by cAMP,<a href='https://www.yeastgenome.org/locus/YHR143W' target='_blank'>YHR143W</a>
YHR143W-A,RPC10,ABC10-alpha|DNA-directed RNA polymerase core subunit RPC10|RPB12,"RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III; relocalizes from nucleolus to cytoplasm upon DNA replication stress",<a href='https://www.yeastgenome.org/locus/YHR143W-A' target='_blank'>YHR143W-A</a>
YHR144C,DCD1,deoxycytidine monophosphate deaminase,Deoxycytidine monophosphate (dCMP) deaminase; involved in dUMP and dTMP biosynthesis; expression is NOT cell cycle regulated,<a href='https://www.yeastgenome.org/locus/YHR144C' target='_blank'>YHR144C</a>
YHR145C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YHR145C' target='_blank'>YHR145C</a>
YHR146W,CRP1, ,"Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR146W' target='_blank'>YHR146W</a>
YHR147C,MRPL6,mitochondrial 54S ribosomal protein YmL16|uL6m|YmL16,Mitochondrial ribosomal protein of the large subunit,<a href='https://www.yeastgenome.org/locus/YHR147C' target='_blank'>YHR147C</a>
YHR148W,IMP3,snoRNA-binding rRNA-processing protein IMP3,"Component of the SSU processome; SSU processome is required for pre-18S rRNA processing, essential protein that interacts with Mpp10p and mediates interactions of Imp4p and Mpp10p with U3 snoRNA",<a href='https://www.yeastgenome.org/locus/YHR148W' target='_blank'>YHR148W</a>
YHR149C,SKG6, ,"Integral membrane protein; localizes primarily to growing sites such as the bud tip or the cell periphery; potential Cdc28p substrate; Skg6p interacts with Zds1p and Zds2p; SKG6 has a paralog, TOS2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR149C' target='_blank'>YHR149C</a>
YHR150W,PEX28, ,"Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p",<a href='https://www.yeastgenome.org/locus/YHR150W' target='_blank'>YHR150W</a>
YHR151C,MTC6, ,Protein of unknown function; mtc6 is synthetically sick with cdc13-1; SWAT-GFP and mCherry fusion proteins localize to the vacuole while SWAT-GFP fusion also localizes to the endoplasmic reticulum,<a href='https://www.yeastgenome.org/locus/YHR151C' target='_blank'>YHR151C</a>
YHR152W,SPO12,SDB21,"Nucleolar protein of unknown function; positive regulator of mitotic exit; involved in regulating release of Cdc14p from the nucleolus in early anaphase, may play similar role in meiosis; SPO12 has a paralog, BNS1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR152W' target='_blank'>YHR152W</a>
YHR153C,SPO16, ,Meiosis-specific protein involved in synaptonemal complex assembly; implicated in regulation of crossover formation; required for sporulation,<a href='https://www.yeastgenome.org/locus/YHR153C' target='_blank'>YHR153C</a>
YHR154W,RTT107,ESC4,BRCA1 C-terminal domain protein needed for recovery from DNA damage; implicated in Mms22-dependent DNA repair during S phase; involved in recruiting SMC5/6 complex to double-strand breaks; DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition; relative distribution to nuclear foci increases upon DNA replication stress,<a href='https://www.yeastgenome.org/locus/YHR154W' target='_blank'>YHR154W</a>
YHR155W,LAM1,YSP1,"Putative sterol transfer protein; localizes to puncta in the cortical ER; probable role in retrograde transport of sterols from the plasma membrane to the ER; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; contains GRAM, StART-like (VASt) and two PH-like domains",<a href='https://www.yeastgenome.org/locus/YHR155W' target='_blank'>YHR155W</a>
YHR156C,LIN1,SNU40|U5 snRNP complex subunit LIN1,"Non-essential component of U5 snRNP; nuclear protein; physically interacts with Irr1p of cohesin complex; may link together proteins involved in chromosome segregation, mRNA splicing and DNA replication",<a href='https://www.yeastgenome.org/locus/YHR156C' target='_blank'>YHR156C</a>
YHR157W,REC104, ,Protein involved in early stages of meiotic recombination; required for meiotic crossing over; forms a complex with Rec102p and Spo11p necessary during the initiation of recombination,<a href='https://www.yeastgenome.org/locus/YHR157W' target='_blank'>YHR157W</a>
YHR158C,KEL1, ,"Protein required for proper cell fusion and cell morphology; forms a complex with Bud14p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; functions in a complex with Kel2p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate",<a href='https://www.yeastgenome.org/locus/YHR158C' target='_blank'>YHR158C</a>
YHR159W,TDA11, ,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; potential Cdc28p substrate; null mutant is sensitive to expression of the top1-T722A allele,<a href='https://www.yeastgenome.org/locus/YHR159W' target='_blank'>YHR159W</a>
YHR160C,PEX18, ,"Peroxin; required for targeting of peroxisomal matrix proteins containing PTS2; interacts with Pex7p; partially redundant with Pex21p; primarily responsible for peroxisomal import during growth on oleate, and expression is induced during oleate growth",<a href='https://www.yeastgenome.org/locus/YHR160C' target='_blank'>YHR160C</a>
YHR161C,YAP1801, ,"Protein of the AP180 family, involved in clathrin cage assembly; binds Pan1p and clathrin; YAP1801 has a paralog, YAP1802, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR161C' target='_blank'>YHR161C</a>
YHR162W,MPC2,mitochondrial pyruvate carrier,"Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on fermentable carbon sources, and heterodimerizes with Mpc1p to form the fermentative isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC2 paralog, MPC3, heterodimerizes with Mpc1p to form the respiratory MPC isoform",<a href='https://www.yeastgenome.org/locus/YHR162W' target='_blank'>YHR162W</a>
YHR163W,SOL3,6-phosphogluconolactonase SOL3,"6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR163W' target='_blank'>YHR163W</a>
YHR164C,DNA2,bifunctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2|WEB2,"Tripartite DNA replication factor; single-stranded DNA-dependent ATPase, ATP-dependent nuclease, helicase; tracking protein for flap cleavage during Okazaki fragment maturation; involved in DNA repair/processing of meiotic DNA double strand breaks; component of telomeric chromatin with cell-cycle dependent localization; required for telomerase-dependent telomere synthesis; forms nuclear foci upon DNA replication stress; human homolog DNA2 complements yeast dna2 mutant",<a href='https://www.yeastgenome.org/locus/YHR164C' target='_blank'>YHR164C</a>
YHR165C,PRP8,DBF3|DNA39|RNA8|SLT21|U4/U6-U5 snRNP complex subunit PRP8|USA2,"Component of U4/U6-U5 snRNP complex; involved in second catalytic step of splicing; participates in spliceosomal assembly through its interaction with U1 snRNA; largest and most evolutionarily conserved protein of the spliceosome; mutations in human ortholog, PRPF8, cause Retinitis pigmentosa and missplicing in Myelodysplastic syndrome; mouse ortholog interacts with androgen receptor and may have a role in prostate cancer",<a href='https://www.yeastgenome.org/locus/YHR165C' target='_blank'>YHR165C</a>
YHR165W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF PRP8/YHR165C",<a href='https://www.yeastgenome.org/locus/YHR165W-A' target='_blank'>YHR165W-A</a>
YHR166C,CDC23,anaphase promoting complex subunit CDC23,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",<a href='https://www.yeastgenome.org/locus/YHR166C' target='_blank'>YHR166C</a>
YHR167W,THP2, ,"Subunit of the THO and TREX complexes; THO connects transcription elongation and mitotic recombination, and TREX is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance",<a href='https://www.yeastgenome.org/locus/YHR167W' target='_blank'>YHR167W</a>
YHR168W,MTG2,putative GTPase MTG2,"Putative GTPase; member of the Obg family; peripheral protein of the mitochondrial inner membrane that associates with the large ribosomal subunit; required for mitochondrial translation, possibly via a role in ribosome assembly",<a href='https://www.yeastgenome.org/locus/YHR168W' target='_blank'>YHR168W</a>
YHR169W,DBP8,ATP-dependent RNA helicase DBP8,"ATPase, putative RNA helicase of the DEAD-box family; component of 90S preribosome complex involved in production of 18S rRNA and assembly of 40S small ribosomal subunit; ATPase activity stimulated by association with Esf2p",<a href='https://www.yeastgenome.org/locus/YHR169W' target='_blank'>YHR169W</a>
YHR170W,NMD3,ribosome-binding protein NMD3|SRC5,Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex,<a href='https://www.yeastgenome.org/locus/YHR170W' target='_blank'>YHR170W</a>
YHR171W,ATG7,APG11|APG7|CVT2,Autophagy-related protein and dual specificity member of the E1 family; mediates the attachment of Atg12p to Atg5p and Atg8p to phosphatidylethanolamine which are required steps in autophagosome formation; E1 enzymes are also known as ubiquitin-activating enzymes; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner,<a href='https://www.yeastgenome.org/locus/YHR171W' target='_blank'>YHR171W</a>
YHR172W,SPC97, ,Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque,<a href='https://www.yeastgenome.org/locus/YHR172W' target='_blank'>YHR172W</a>
YHR173C, , ,Protein of unknown function; expressed at both mRNA and protein levels; SWAT-GFP and mCherry fusion proteins localize to the vacuole,<a href='https://www.yeastgenome.org/locus/YHR173C' target='_blank'>YHR173C</a>
YHR174W,ENO2,phosphopyruvate hydratase ENO2,"Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YHR174W' target='_blank'>YHR174W</a>
YHR175W,CTR2,low-affinity Cu transporter,"Low-affinity copper transporter of the vacuolar membrane; mutation confers resistance to toxic copper concentrations, while overexpression confers resistance to copper starvation; regulated by nonsense-mediated mRNA decay pathway",<a href='https://www.yeastgenome.org/locus/YHR175W' target='_blank'>YHR175W</a>
YHR175W-A, , ,Putative protein of unknown function; identified by fungal homology and RT-PCR,<a href='https://www.yeastgenome.org/locus/YHR175W-A' target='_blank'>YHR175W-A</a>
YHR176W,FMO1,"N,N-dimethylaniline monooxygenase",Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins,<a href='https://www.yeastgenome.org/locus/YHR176W' target='_blank'>YHR176W</a>
YHR177W,ROF1,GON3,Putative transcription factor containing a WOPR domain; binds DNA in vitro; similar to C. albicans Wor1p transcription factor that regulates white-opaque switching; overexpression causes a cell cycle delay or arrest,<a href='https://www.yeastgenome.org/locus/YHR177W' target='_blank'>YHR177W</a>
YHR178W,STB5, ,Transcription factor; involved in regulating multidrug resistance and oxidative stress response; forms a heterodimer with Pdr1p; contains a Zn(II)2Cys6 zinc finger domain that interacts with a pleiotropic drug resistance element in vitro,<a href='https://www.yeastgenome.org/locus/YHR178W' target='_blank'>YHR178W</a>
YHR179W,OYE2,NADPH dehydrogenase,"Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death; protein abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YHR179W' target='_blank'>YHR179W</a>
YHR180C-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the dubious ORF YHR180W-A",<a href='https://www.yeastgenome.org/locus/YHR180C-B' target='_blank'>YHR180C-B</a>
YHR180W, , ,Putative protein of unknown function; conserved among S. cerevisiae strains,<a href='https://www.yeastgenome.org/locus/YHR180W' target='_blank'>YHR180W</a>
YHR180W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious ORF YHR180C-B and long terminal repeat YHRCsigma3",<a href='https://www.yeastgenome.org/locus/YHR180W-A' target='_blank'>YHR180W-A</a>
YHR181W,SVP26,ERV26,Integral membrane protein of early Golgi and ER; involved in COP II vesicle transport; facilitates exit of mannosyltransferases Kre2p and Ktr1p from ER; may also function to promote retention of proteins in the early Golgi compartment,<a href='https://www.yeastgenome.org/locus/YHR181W' target='_blank'>YHR181W</a>
YHR182C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF GND1/YHR183W",<a href='https://www.yeastgenome.org/locus/YHR182C-A' target='_blank'>YHR182C-A</a>
